date,expression,value
01031753,15+0-30+7+13,5
01031754,40+13+50+1*7,110
01031755,3*50/15-7-0+1,4
01031756,6/1+3*10+5+70,111
01031757,11-75+70-0-3,3
01031758,0+18-30+17+5,10
01031759,17+9-0+0-5-13,8
01031800,11+0+0-0+83+0,94
01031801,18-10+3-10+0,1
01031802,3-8+21-10-0+0,6
01031803,0+80+3*11-0-3,110
01031804,30-80/4/1-10,0
01031805,10*8-30+50*1,100
01031806,30*8/60/1-0+1,5
01031807,0-7*11-0-0+83,6
01031808,0+0+13-0-1+88,100
01031809,80-90+30-11,9
01031810,18/10/3*10+0,6
01031811,31*1+81-0-1-0,111
01031812,3*10-1+82/1+0,111
01031813,30+0-18-13+1,0
01031814,10-1-0-41+38,6
01031815,1*50+0-38*1-1,11
01031816,16+30/10+81,100
01031817,1-7-83+10*10,11
01031818,81-0+1+1-0-83,0
01031819,0-1-10+13-9+8,1
01031820,0-8-13+21-0-0,0
01031821,8+10/1+10-23,5
01031822,31-0-0+1-22-8,2
01031823,20+80/1+13-3,110
01031824,3*1+40*2/80*1,4
01031825,1-25*8/10+30,11
01031826,60*32/10-81,111
01031827,80+7-10/1+23,100
01031828,1-8+32-0-0-18,7
01031829,9*1-20-8/1+30,11
01031830,0+8+30-31*1+0,7
01031831,8-31+0-1+30-1,5
01031832,0+32-0-3*1-18,11
01031833,31+0+0+1-33+8,7
01031834,0+1*1*30+84-3,111
01031835,30*8/15-10+3,9
01031836,83-10+1+6+30,110
01031837,38-11-0+0+73,100
01031838,38+0-38+0+11,11
01031839,80/10*13-93,11
01031840,1*8-40/10+0-3,1
01031841,18-14-0+10-3,11
01031842,0+41-38+2+0-1,4
01031843,30-81+43+10,2
01031844,48-0-30-11+4,11
01031845,3-8/1*15/40+0,0
01031846,0+0+86/43+1*1,3
01031847,0-4-13+7+0+18,8
01031848,0+18-40+81/3,5
01031849,9-0+18/3+0-14,1
01031850,30/5-1*10+8-0,4
01031851,0+13-18+0+1*5,0
01031852,80/10-2*1-5+3,4
01031853,0-8+50*1-31-3,8
01031854,54+0-18*3+1+0,1
01031855,0+1+58-53-0-1,5
01031856,50+3-1/1-60+8,0
01031857,18-70+53+0+1,2
01031858,51+10-80+8*3,5
01031859,8-31-9+50-10,8
01031900,90*10-0+0-13,887
01031901,31-0-1+0-19-0,11
01031902,11-0+20-30+9,10
01031903,0+1*30-13-0-9,8
01031904,10*4-0+1-39+0,2
01031905,0+19+31-50-0,0
01031906,0+10+10-6*3+9,11
01031907,39+71/1+0+0-0,110
01031908,8+93+0+0+1*10,111
01031909,90-0+30-11-9,100
01031910,13+1-90/10-0,5
01031911,1+1*90/30+1-1,4
01031912,11+3-12+0-0+9,11
01031913,3*11-0-3-19-0,11
01031914,9-10+1+14+0-3,11
01031915,1*9*1-0-30/15,7
01031916,11+10-60+39,0
01031917,1+13+7+0+0-19,2
01031918,0+9+18/3-10*1,5
01031919,10-30+19-1+9,7
01031920,90+0-11+30+2,111
01031921,20+11-10*3+9,10
01031922,29-0-0-23-1*1,5
01031923,30+1-0+12-39,4
01031924,21-40/10/3*9,9
01031925,15*9+10/2-30,110
01031926,0+16*2-30*1+9,11
01031927,2/1-73-10+90,9
01031928,12+3-10-0-9+8,4
01031929,13+0+90-92*1,11
01031930,19-30+10+0+3,2
01031931,10+90+13/1-3,110
01031932,10+39+31+20,100
01031933,30*10*13/39,100
01031934,1+3+90*1/30-4,3
01031935,5-30/10/9*3*1,4
01031936,39/13*6-0-10,8
01031937,3+31-17+0+0-9,8
01031938,0+18-19+3-0+3,5
01031939,9*30/10+9-31,5
01031940,14+9-0+0-0-13,10
01031941,41-30-11+9-0,9
01031942,90/1-1-2*43-0,3
01031943,0+49-10/1-33,6
01031944,9-30/10-1*4+4,6
01031945,50+43+0+19-1,111
01031946,30-10-1+96-4,111
01031947,9-10/1+40-37,2
01031948,80/40+91/13,9
01031949,99-0+0-3+14+1,111
01031950,19+1-0+30-50,0
01031951,9-13/1+15+0+0,11
01031952,29+10-31+0-5,3
01031953,3-0-1-50+19*3,9
01031954,9-0+13+4+0-15,11
01031955,0+9-15+0-5+13,2
01031956,0-1-16*3-0+59,10
01031957,0+51+79-10*3,100
01031958,80-95+30-11,4
01031959,3+0-9+10+1+95,100
01032000,20-0-0+0-13+0,7
01032001,20*30/10+1-0,61
01032002,0+0+2+30/2*10,152
01032003,10+20+0-0+3/3,31
01032004,10+0+3*40+20,150
01032005,52-0+10+0+30,92
01032006,0+0-63+10*20,137
01032007,0+70-10-32-0,28
01032008,80+0-30-10+2,42
01032009,10*9+32-0-0+0,122
01032010,3*10+0+1-20+0,11
01032011,21+0-0+0-13-1,7
01032012,20-3*2+0-10*1,4
01032013,0+33+0-21-10,2
01032014,0-10+42/1-30,2
01032015,11+0+0-30/5/2,8
01032016,0+0-13+16-0+2,5
01032017,11-0-70+2*30,1
01032018,8-20+0+13+0-1,0
01032019,0+21-0-19+0+3,5
01032020,2-0-20+3*10+0,12
01032021,10-10+0+2+2+3,7
01032022,23+0-10*2-2+0,1
01032023,30*10/3/20-2,3
01032024,2-0-2-30*1+40,10
01032025,0+0+25-30*1/2,10
01032026,2*6-20+0+13+0,5
01032027,30-2*7-2-0-10,4
01032028,3-0+0-12-8+20,3
01032029,0+0+30/1-29+2,3
01032030,30*10+0-0+23,323
01032031,12+3+0-0-13+0,2
01032032,20+0-0+13-23,10
01032033,10+3+2-0-30/3,5
01032034,3*40-0-12+0+3,111
01032035,0-10+50+2-33,9
01032036,20*33/6+0-10,100
01032037,3-0-17+0-0+23,9
01032038,3*3+20+0+0+81,110
01032039,92+0+0-3*10*3,2
01032040,4+0-0-20-1+30,13
01032041,0+40*2+31-1-0,110
01032042,3+0-21+40-20,2
01032043,23-3*4+0-0-10,1
01032044,43+2-1+0-0-40,4
01032045,0+35+0-1*20-4,11
01032046,20-16-0+0-3+4,5
01032047,0-41+70-23-0,6
01032048,0-12/3-0+40/8,1
01032049,0-2*43+0+9*10,4
01032050,30-0-0+15-20,25
01032051,0-0+25-1+0-13,11
01032052,25-30+0-2+10,3
01032053,0+30/5-12/3+0,2
01032054,20-1/5*40-3-0,9
01032055,50*12*5/30-0,100
01032056,61-50-2*3-0+0,5
01032057,2-0-71+50+30,11
01032058,5-13+0-0+20-8,4
01032059,20-0+3+5+0-19,9
01032100,0+20*13-10+0,250
01032101,0-11-3+21-0+0,7
01032102,32-10+0-10-2,10
01032103,0+0+13+0-12+3,4
01032104,0-23+41-0-10,8
01032105,0-0+25-1+0-13,11
01032106,6+0+10-23+10,3
01032107,0+30-1-21-7+0,1
01032108,1*20+0+0-18+3,5
01032109,9-0-23+10+10,6
01032110,1+10+20-30/1,1
01032111,1-20/10+13-1,11
01032112,0+2+10-1-12/3,7
01032113,13+0+11-23+0,1
01032114,10*1/10/4*32,8
01032115,0+13+10+2-15,10
01032116,0+21-10-3+1-6,3
01032117,17+1*3-10+0-2,8
01032118,0+13+18-2*10,11
01032119,2+10/10+13-9,7
01032120,0+20+0-2-13+1,6
01032121,20-30+1-1+21,11
01032122,3-10-0-12+22,3
01032123,33-20+2-10*1,5
01032124,1/3*21-40/20,5
01032125,22-50-0+31*1,3
01032126,30+10-62/2-1,8
01032127,0-1*23-0+1+27,5
01032128,0+2+28-30*1*1,0
01032129,0-1+23-0+91-2,111
01032130,0-10-13-0+32,9
01032131,0-30/3-11+21,0
01032132,3-3+11-20/2+0,1
01032133,2-10-0+33/3-1,2
01032134,12*10/3-34+0,6
01032135,1-30+0+13+25,9
01032136,30*1/1+6-32+0,4
01032137,30/1+10+2-37,5
01032138,1*2+81+30-0-3,110
01032139,0+2-13-19+30,0
01032140,11+0-0+24-30,5
01032141,3*11+1+0-24+0,10
01032142,13+20-40+12,5
01032143,2-0+31-40+13,6
01032144,44-0-13-1*20,11
01032145,0+52-31+0-14,7
01032146,0-14+2*61+3+0,111
01032147,42+3*10+0-71,1
01032148,42+0-3*8-11-0,7
01032149,19-34/2+0-1-0,1
01032150,30-12-0+0-15,3
01032151,2-5-10+0+11+3,1
01032152,0+10-23+15-2,0
01032153,0+50+31-2+31,110
01032154,0-3+12-14+5+0,0
01032155,0-1*5-13+20+5,7
01032156,1+0+13+52-60,6
01032157,13+0-0+7-2-15,3
01032158,38-0+1+20-51,8
01032159,9*5-1-10-0-32,2
01032200,1+2-0+30*20-0,603
01032201,1*23+0-2-10+0,11
01032202,0+12+20-30-2,0
01032203,30-12*2-0-0+3,9
01032204,3+40/20/2+1+0,5
01032205,5+23+0-0-1-20,7
01032206,0+30-20-6+1+2,7
01032207,37-0-20-12+0,5
01032208,20+0+31*2-80,2
01032209,21-30-0+9+2-0,2
01032210,20-1-23+10-0,6
01032211,20+1*2+0-13-1,8
01032212,20+13-22-0-1,10
01032213,0-20+13+13+2,8
01032214,32+10+2-41+0,3
01032215,0-21+3-1+5+20,6
01032216,26-1*20-1+3-0,8
01032217,2+7/10-21/30,2
01032218,1-23+8+1*20+0,6
01032219,23+10-29+0+1,5
01032220,0-20+22/1+3+0,5
01032221,30-12+0-12+2,8
01032222,20-2*3+1-20/2,5
01032223,2+22-0-13-0-3,8
01032224,3*12-24+0+0-2,10
01032225,50-22+2-30*1,0
01032226,60-2+32+20/1,110
01032227,0+2+0+32-17*2,0
01032228,8-0+20*3+21*2,110
01032229,2-0+20-9-13+2,2
01032230,30-0-20-3+1*2,9
01032231,3-3+20-20+11,11
01032232,3-2-0+10*3-22,9
01032233,2-0+31-0-23-3,7
01032234,30+10-2*34/2,6
01032235,20+10/5-23+3,2
01032236,26-20/1*3/3+0,6
01032237,27+0-3-2-13+0,9
01032238,22-31*3+80+0,9
01032239,90/2-0+21*3+3,111
01032240,0-0-22-10+43,11
01032241,11*2+0-34+20,8
01032242,1+2*23-0-40-2,5
01032243,30/20*32-41,7
01032244,40-0+21+42-3,100
01032245,20+42-1*53-0,9
01032246,32+1-24+0-0-6,3
01032247,20+27*1-40-3,4
01032248,0-23-0-1+42-8,10
01032249,43-22-0-9-10,2
01032250,0+22-50+30/1,2
01032251,21+30-51+2+0,2
01032252,0-20+2*1-5+23,0
01032253,1*2*30-0+53-2,111
01032254,24+2+0+0-15-3,8
01032255,25-50+2+0+31,8
01032256,26/2-0-15+0+3,1
01032257,30+1-52+0+27,6
01032258,0-23+81-50+2,10
01032259,39+2-51-0+20,10
01032300,0-0-3+3*20+10,67
01032301,31-20+0-1-3+0,7
01032302,0+30-0-21-3*2,3
01032303,3+0+0-32+30+1,2
01032304,0+40*33/12+0,110
01032305,0-35+12+30+0,7
01032306,0-23-1-30+60,6
01032307,0-17+3-0+20+3,9
01032308,3+0+20-31-0+8,0
01032309,23-10-0+3-0-9,7
01032310,0+32-30-0+1*1,3
01032311,13-21-0+0+13,5
01032312,33/11+0+2-0-2,3
01032313,30/30/3*21*1,7
01032314,1+0+13+0+2*43,100
01032315,0+1*5+31-2-30,4
01032316,6/10*30*2-31,5
01032317,27-0+13-31+0,9
01032318,31-2+8-1-0-30,6
01032319,32+0-10-19+3,6
01032320,10+0+20-23-3,4
01032321,10+32-2-30+1,11
01032322,31-0+3+0-22-2,10
01032323,0+3-30+32+1+2,8
01032324,42-33-10+0+2,1
01032325,3+0+31+0-2-25,7
01032326,0-1+62-30-23,8
01032327,23*2-37-1+0+0,8
01032328,1+0-8+32-20+3,8
01032329,0-20-3+1+32-9,1
01032330,2+3+0+30/30+1,7
01032331,13-10-23+30,10
01032332,13+3+20-32+0,4
01032333,13-33+0+0+23,3
01032334,14*3+2-33+0+0,11
01032335,30-25-31+30,4
01032336,21+3*6-33-0+0,6
01032337,12+30-7+0-33,2
01032338,10/80*32-3+3,4
01032339,30+3-30-2*1+9,10
01032340,4+20+13-30-0,7
01032341,13+4-0-12+0-3,2
01032342,31-4-23-2-0-0,2
01032343,41-30+0-3/3*2,9
01032344,3*30/24+1/4+0,4
01032345,21+53+0+30-4,100
01032346,41+23-60+0+3,7
01032347,40+1-37+0-2+3,5
01032348,1-0-0-48/3+23,8
01032349,43-9-0-30/1+2,6
01032350,3-10*30/5/20,0
01032351,3*3+20-15-10,4
01032352,30-21-3-20/5,2
01032353,30*20/15-33,7
01032354,4-12+0+5+30/3,7
01032355,20-3*50/3/5/1,10
01032356,52-63-0+0+13,2
01032357,37+1+23-50-0,11
01032358,0+8*13-2*50+3,7
01032359,93-0+13+20/5,110
01040000,40*10-0-0-0-0,400
01040001,40+10+10+0+0,60
01040002,40/10+20+0-0,24
01040003,40-0+0+0-0+13,53
01040004,4+40-0-0+10+0,54
01040005,0+50+10-0-4+0,56
01040006,40-0-0-6+0+10,44
01040007,74-10-0-0-0+0,64
01040008,0+0-0+40+8*10,120
01040009,14-0+90-0-0+0,104
01040010,0-0-10+14+0-0,4
01040011,14+0-0+0+0+11,25
01040012,41-0-0-0-21+0,20
01040013,0+0-0+40*13*1,520
01040014,11-4-0+40-0+0,47
01040015,1-0-4+50*10-0,497
01040016,0-41+60-0-0+1,20
01040017,0+40*17+1+0-0,681
01040018,0+14+0+81-0-0,95
01040019,19*41-0-0-0+0,779
01040020,0+40/2+10-0+0,30
01040021,10*10/20*40,200
01040022,10*40/2+0+20,220
01040023,20/10*40*3+0,240
01040024,0-0-0+12-40/4,2
01040025,24+0-0+0-10-5,9
01040026,4-20-0+0+61-0,45
01040027,0-24+7*10+0+0,46
01040028,80+0+1+0+2-40,43
01040029,0-0-4*10+2+90,52
01040030,30/10-0+4+0-0,7
01040031,40+10+10+3+0,63
01040032,0+0-10+20+43,53
01040033,10+33+0-0+4-0,47
01040034,0+43+41-0-0-0,84
01040035,0-0+51+0+43+0,94
01040036,14+30+0+0+0-6,38
01040037,70+0-40+0-13,17
01040038,0-0+10*43+80,510
01040039,93+10-0+0-0-4,99
01040040,40-1-0-0-0+40,79
01040041,0-11+0+40-0+4,33
01040042,40/20+10+0+4,16
01040043,40-30-0-0-1+4,13
01040044,40-14+0+40-0,66
01040045,45-40+0+10+0,15
01040046,10+60+4+0+40,114
01040047,4*70-40+0+10,250
01040048,0+0-1+8*40-40,279
01040049,49+0-0-40/10,45
01040050,40+0+10+5-0-0,55
01040051,0+1+0-0+10+54,65
01040052,45-0+0-2*10+0,25
01040053,0-0-40+53+10,23
01040054,4+50+0+14-0+0,68
01040055,0+0+50-40+5*1,15
01040056,56+41+0-0-0+0,97
01040057,0+7*5-40-0+10,5
01040058,8-40+0+0+51+0,19
01040059,0-90+0+40*15,510
01040100,0-0+10+0-10+4,4
01040101,40-11-0+0+1+0,30
01040102,10+0+14+0-20,4
01040103,10-10+0-0+43,43
01040104,40*1-0-40*1+0,0
01040105,5+0-4+0+10/10,2
01040106,0-10+0+14+60,64
01040107,1+0-0+70+0+14,85
01040108,80/10*40/10,32
01040109,0-0+19-10+0-4,5
01040110,0+10+10*40-1,409
01040111,0+11-40/10+1,8
01040112,40-11+0-1*20,9
01040113,41-10-0-10*3,1
01040114,0+10-41+40+1,10
01040115,40/10-10/5/1,2
01040116,0+6*4-11+0-10,3
01040117,1*17-4-10-0+0,3
01040118,0-0+14+8+0-11,11
01040119,0-11+40-10-9,10
01040120,0+40+11-20+0,31
01040121,4-0-11+0+0+12,5
01040122,0-20+11*4-20,4
01040123,12+4-10-0+3-0,9
01040124,12+0-0-40/4+1,3
01040125,5/20-1*10/40,0
01040126,61-0-20-40+1,2
01040127,0-0+70+41-2+1,110
01040128,0-8+40-21*1+0,11
01040129,29+0-10-10-4,5
01040130,43*10-10+0+0,420
01040131,41+1-30-10-0,2
01040132,10+2-4-10+3+0,1
01040133,0-0-3*13/1+40,1
01040134,40-0+10+1-43,8
01040135,40*1+13-50-0,3
01040136,41-60-0+30*1,11
01040137,70+43-1+0-0-1,111
01040138,80-31-40-1-0,8
01040139,31+0-14-0+0-9,8
01040140,10-0-0+44*10,450
01040141,4+4-0+10-11-0,7
01040142,14-0-0-0-12+4,6
01040143,43+1-41+0+0+0,3
01040144,41+10+0-44+0,7
01040145,50-4*14+10-0,4
01040146,10/4-1-60/40,0
01040147,40/10+7-0-4*1,7
01040148,0+8-0-14+4+10,8
01040149,0-4+90/10+4*1,9
01040150,0-0+14+10+50,74
01040151,0+4-10+15/1+0,9
01040152,0-10-14+5+20,1
01040153,13-0+40-0-51,2
01040154,0-40-10+54/1,4
01040155,0-0+1*51-45+0,6
01040156,5-14-0+0+10+6,7
01040157,0-10-7+0+14+5,2
01040158,80+4+0-0+1+15,100
01040159,0+51+0-49-0+1,3
01040200,0+20/10+0+0+4,6
01040201,4-20+10+10-0,4
01040202,0+14-0+0+20/2,24
01040203,20*40+1+30+0,831
01040204,40/10+0+2-0+4,10
01040205,0+50*1+0+20*4,130
01040206,2-0+60+10-4-0,68
01040207,40/70*21+0-0,12
01040208,0+81-0-20+0-4,57
01040209,90-20+0-10-4,56
01040210,24-0+0+10/1-0,34
01040211,10+2-0+0-11+4,5
01040212,0+22-0-4/1-10,8
01040213,1*30+20-40-1,9
01040214,42-40+0+0-1*1,1
01040215,51+1-42+0+0-0,10
01040216,40-0-0-1-16*2,7
01040217,0+0-70/14+12,7
01040218,8-20/1-0+14-0,2
01040219,29+0-40+11-0,0
01040220,10+0+0+24+0-2,32
01040221,0+0-1-20+24-1,2
01040222,0+21+0+4-20-2,3
01040223,22+10+0-30+4,6
01040224,40+20*12/4+0,100
01040225,24-5+0-0-0-12,7
01040226,0-20+62/1-40,2
01040227,10-0-0-27+24,7
01040228,0+2+2-80/40*1,2
01040229,4/2-2+10-0+90,100
01040230,42-0+10-0-30,22
01040231,2-14-0+0+13+0,1
01040232,0-2+30-0-2*14,0
01040233,40-0+0+3/1-32,11
01040234,10+3+4+0+4-20,1
01040235,24/10+3/5-0+0,3
01040236,62-0-43-10-0,9
01040237,0-71+30+40+2,1
01040238,38-20+0-10-4,4
01040239,10+3-90+40*2,3
01040240,0-0+20+0+4-14,10
01040241,10+10*4+0-42,8
01040242,44-20*1*2-0+0,4
01040243,0+1-0+30-4-24,3
01040244,4+40-42-1-0+0,1
01040245,20-54+0+1*40,6
01040246,41+0+4-60+20,5
01040247,40-40-10/2+7,2
01040248,80+14+20-4+0,110
01040249,40-0-2*9+0-14,8
01040250,0-1+0+45+20-0,64
01040251,14+2-10+0+0+5,11
01040252,22+0-10-4-5+0,3
01040253,31-50+0+4+20,5
01040254,42+0+5-1*40-0,7
01040255,50+1-5*4-20-0,11
01040256,4+60/12-5-0+0,4
01040257,40-5+0-1-27+0,7
01040258,4-0+0+50/2-18,11
01040259,90+10-50*2+4,4
01040300,10+43-0-0-0-0,53
01040301,30+10*10+40,170
01040302,0+30-0+10+4*2,48
01040303,30-40-0+30+1,21
01040304,44-0-10+0+30,64
01040305,0+10+0+4-0+35,49
01040306,0+30+16+0+40,86
01040307,0+0+70+10+43,123
01040308,0+10*34+80+0,420
01040309,41-0-9+30+0+0,62
01040310,40-31-0+0+10,19
01040311,14+0-10+3-1-0,6
01040312,11+0-0-0-24/3,3
01040313,3+14-13-0-0-0,4
01040314,10+4-0-0-14+3,3
01040315,41-0+0-50+13,4
01040316,6+14-3-10-0+0,7
01040317,10-70+31+40,11
01040318,0-30-11+0+48,7
01040319,9+4+10/10+0-3,11
01040320,0-31+0+2+40+0,11
01040321,30-10-0-14+2,8
01040322,20-1-0+0-24/3,11
01040323,34-13-20+0+0,1
01040324,0-0-34+2+10*4,8
01040325,41-30+0+0-5-2,4
01040326,4*16+0-0-3*20,4
01040327,0+17+0-0-34/2,0
01040328,3-0-1/80*40*2,2
01040329,41-32+0-0-9-0,0
01040330,1-3-0+40+30+0,68
01040331,10+1-30*4/30,7
01040332,1+2-0-30+0+34,7
01040333,13+30-40-0-3,0
01040334,30+0+4-30-1+4,7
01040335,35-0+10-3-40,2
01040336,40-1-30-6-3-0,0
01040337,0-31+0+37+0-4,2
01040338,0+0+31+3+80-4,110
01040339,30-34+9-0-0+1,6
01040340,0+30/40*40+1,31
01040341,0+41-30+1-4+0,8
01040342,43+1-0+2-40+0,6
01040343,0+3/10*40-4+3,11
01040344,40-0-4+0-34*1,2
01040345,0+0+43-41+5-0,7
01040346,0+60-13+0-44,3
01040347,34-0-40+7*1+0,1
01040348,80/40-31+40,11
01040349,0+0+44*1-9-30,5
01040350,40*15+30+0-0,630
01040351,30+15/1+0-40,5
01040352,14-2+0+0-30/5,6
01040353,50+0+3-3-40*1,10
01040354,0+40-5+0-34/1,1
01040355,40/5+5-13+0-0,0
01040356,4/60*50*30*1,100
01040357,0-0-53+17+40,4
01040358,8+35/1-0-0-40,3
01040359,91-30-50+0-4,7
01040400,0+40-0+0+14+0,54
01040401,41+0-1-0+40+0,80
01040402,0-14+0-0+20*4,66
01040403,13*40+0-0+0+4,524
01040404,0+40+44-0-10,74
01040405,0-5+0+44+10+0,49
01040406,10+44-0+60-0,114
01040407,0+0+0+70+4+41,115
01040408,0+40+40+18-0,98
01040409,40+0+9*41-0+0,409
01040410,0-10-0+41-4+0,27
01040411,1/1*10/40*40,10
01040412,20/1/40*10+4,9
01040413,40+30/10-41,2
01040414,0-40+44+0+1*1,5
01040415,40+15*40/10,100
01040416,40-6+11-0-40,5
01040417,0-40+4*10+7*1,7
01040418,18+4/4-0-10-0,9
01040419,40+9+0-0-4*11,5
01040420,44/1*20+0+0-0,880
01040421,10+0-0-1*24/4,4
01040422,2+40-41+2-0+0,3
01040423,0-20-14-0+34,0
01040424,0+4-0-42+40/1,2
01040425,0-0-40+14*5*2,100
01040426,44-0-60+20+1,5
01040427,20-40-0+7+14,1
01040428,84+0+4-0+0+12,100
01040429,49-0+0-0-42*1,7
01040430,44+30-0-0+10,84
01040431,1+43+0-41-0-0,3
01040432,20-13-40/40,6
01040433,10+0+33+4-40,7
01040434,0+14+34-40-0,8
01040435,45-30-10-0-4,1
01040436,0+43-46+10-0,7
01040437,70/10-4+0+4-3,4
01040438,0+0+30-14+84,100
01040439,0+31+9-0-40+4,4
01040440,0+1*40+40-40,40
01040441,0+44/4/10*10,11
01040442,40/4*20/4/10,5
01040443,40+0+0-1-34+4,9
01040444,4*10-0-40-4+4,0
01040445,41+0-40+0-5+4,0
01040446,6-0+40-44-0+1,3
01040447,74+40-14+0+0,100
01040448,40+14-40+0-8,6
01040449,40+0+10+4-49,5
01040450,0+0+0+15+44+0,59
01040451,40*1-0+14-50,4
01040452,42-50-0+10+4,6
01040453,45+0+3+0-41-0,7
01040454,51-4-44-0-0+0,3
01040455,14+0-50/50-4,9
01040456,0-45-0+41+6-0,2
01040457,0+44+0+0+57-1,100
01040458,0+45-80+40*1,5
01040459,90+0-0+41-5*4,111
01040500,0+0+41+0-0+50,91
01040501,50+0-0-14-10,26
01040502,40/1-0+0+52-0,92
01040503,0+45*10/30+0,15
01040504,0+40-5*1+40-0,75
01040505,40+0+50-50/1,40
01040506,0+60+50+10+4,124
01040507,17+50+0-40-0,27
01040508,10-0-50-0+48,8
01040509,10*90+0+5+40,945
01040510,0-0+4-0+50+11,65
01040511,0+1+0+51-41+0,11
01040512,50-40-1*1+0-2,7
01040513,4+13-10-0-0-5,2
01040514,45/1+0-0-10*4,5
01040515,0+55-40-10/1,5
01040516,64-50+0-10/1,4
01040517,51*1-47-0-0+0,4
01040518,8+10+40-50*1,8
01040519,91+50+10-40,111
01040520,25-0-0+10+0-4,31
01040521,0+0+50-4*1*12,2
01040522,2*50*1/20-0+4,9
01040523,50+0-0-12-34,4
01040524,20*40/5/40-1,3
01040525,0+45*10/50+2,11
01040526,52*1-0-0-46+0,6
01040527,42/70*5-0-0+1,4
01040528,41-5-0+0-20-8,8
01040529,5-10+20-4-9+0,2
01040530,50-0-30+40+1,61
01040531,0-5-31-0-1+40,3
01040532,50-0+3-40-12,1
01040533,53-43+0-0+1+0,11
01040534,14+43+0+0-50,7
01040535,0-53+50+0+14,11
01040536,1+50-3/4*60+0,6
01040537,70-0-0-51-3*4,7
01040538,50+40+18-0+3,111
01040539,41+0-39+0+5+0,7
01040540,0-0+0+44+10-5,49
01040541,10-45+40+0+1,6
01040542,1+0-0-4-40+52,9
01040543,50-0-0-43-4-1,2
01040544,0-41-0+45+0+4,8
01040545,0+0-0+55-1-44,10
01040546,50-10+64-0-4,100
01040547,1-70+4*45+0-0,111
01040548,1+8+44-50-0-0,3
01040549,49-45-0+1-0-0,5
01040550,0+54*10-0-0+5,545
01040551,50-40+5-10-1,4
01040552,40-5+0+0-25/1,10
01040553,0-0+40-53+15,2
01040554,0+1-0+55+44+0,100
01040555,0-0+51+0-55+4,0
01040556,4+65-50-10+0,9
01040557,75+40+5+0-10,110
01040558,55/4/10*8-0+0,11
01040559,0+90/1/45*50,100
01040600,40+60*10-0+0,640
01040601,10-40-0+61+0,31
01040602,24+0+10+0-0+6,40
01040603,36/4+0+0-0+10,19
01040604,0+40+60-40+1,61
01040605,0-6-0+54-0+10,58
01040606,60+0-61-0+40,39
01040607,0-0+14-0+60-7,67
01040608,0+0+41-80+60,21
01040609,0+4*60-1-90-0,149
01040610,40-0+16-0-10,46
01040611,0+6*10/10+4/1,10
01040612,0+41+0-2+60+1,100
01040613,40+0-36-1*1+0,3
01040614,10-1-40+40-6,3
01040615,4*15+10+0-60,10
01040616,0-6+40-16-10,8
01040617,0+70-4-60*1*1,6
01040618,4+6+10-0-8-10,2
01040619,19+0+0-0+4-16,7
01040620,0-24-1+60-0+0,35
01040621,60-10*2-40/1,0
01040622,0+40/2/20+1+6,8
01040623,0-0+63/21+4-0,7
01040624,0+10*6*40/24,100
01040625,0-0-16-20+45,9
01040626,46-20-0-16-0,10
01040627,0+20+0+7-16-4,7
01040628,0+0-10-64+82,8
01040629,40-0-20-19+6,7
01040630,40+60+0-0+31,131
01040631,10+0+30-41+6,5
01040632,30-1-60+40-2,7
01040633,6+0-1/30*40*3,2
01040634,30+10-4+0+64,100
01040635,0-31+40+6+0-5,10
01040636,0-66/3-10+40,8
01040637,0-0+46+0-37*1,9
01040638,31+60-0+0-84,7
01040639,40+0-1+69+0+3,111
01040640,0+0-40-1+0+64,23
01040641,40+1+6-0-0-41,6
01040642,14/40*20-0-6,1
01040643,0+0+0-43+1+46,4
01040644,40/40/1*6-0+4,10
01040645,54+40-0+6+10,110
01040646,0+0-6+60-44+1,11
01040647,0-1-64-4+0+70,1
01040648,10/40*60-8-4,3
01040649,0+40+40-69*1,11
01040650,46-0+0-0+15+0,61
01040651,0-40-6+51+1-0,6
01040652,2+1+50-46+0+0,7
01040653,6*30/4+10-50,5
01040654,0-1+54+0-46-0,7
01040655,60-0-10-54+5,1
01040656,5+40+66-0-1-0,110
01040657,50-1+7-0-46-0,10
01040658,80-10+50-4-6,110
01040659,0-0+10+59-64,5
01040700,0-0+4/10*70-0,28
01040701,70-0-10+40*1,100
01040702,0+24+0+7+0-10,21
01040703,30+0-0-0+1+47,78
01040704,40+70+0+4-0+1,115
01040705,47+0-0+0+50*1,97
01040706,76+0+41-0-0-0,117
01040707,70+7*40+10+0,360
01040708,70-0+40/1+80,190
01040709,10*70+40+90,830
01040710,70*1*1-0-40+0,30
01040711,40+1-0-11+70,100
01040712,0-0-0-12+14+7,9
01040713,0+31+0-14-7-0,10
01040714,47-40-1-1+0+0,5
01040715,0+14*50/70/1,10
01040716,0-4+70+0-1*61,5
01040717,0-10/10*7/7+4,3
01040718,10-8-0+14*7-0,100
01040719,41+0-10+0+79,110
01040720,0-0+20-4-10+7,13
01040721,10-12/4-7+0-0,0
01040722,2+10+0-42/7+0,6
01040723,37-40+12+0+0,9
01040724,0-7+4/20*40*1,1
01040725,50-10+0-24-7,9
01040726,27-4+0-10-0-6,7
01040727,17+0+0+24+70,111
01040728,41-28-7+0+0+0,6
01040729,7-20/4+0-10+9,1
01040730,0-0+7*13-0-40,51
01040731,30-71+0+0+41,0
01040732,2-40+1-0+37-0,0
